San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
0,0,3,14,0,14
1,1,4,15,1,15
2,2,5,16,2,16
3,3,6,17,3,17
4,4,7,18,4,18
5,5,8,19,5,19
6,6,9,20,6,20
7,7,10,21,7,21
8,8,11,22,8,22
9,9,12,23,9,23
10,10,13,24,10,24
11,11,14,25,11,25
12,12,15,26,12,26
13,13,16,27,13,27
14,14,17,28,14,28
0,0,0,0,15,29
1,1,1,1,16,30
2,2,2,2,17,31
3,3,3,3,18,32
4,4,4,4,19,33
5,5,5,5,20,34
6,6,6,6,21,35
7,7,7,7,22,36
8,8,8,8,23,37
9,9,9,9,24,38
10,10,10,10,25,39
11,11,11,11,26,40
12,12,12,12,27,41
13,13,13,13,28,42
14,14,14,14,29,43
15,15,15,15,30,44
16,16,16,16,31,45
17,17,17,17,32,46
18,18,18,18,33,47
0,0,0,19,34,48
1,1,1,20,35,49
2,2,2,21,36,50
3,3,3,22,37,51
4,4,4,23,0,52
5,5,5,24,1,53
6,6,6,25,2,54
7,7,7,26,3,55
8,8,8,27,4,56
9,9,9,28,5,57
10,10,10,29,6,58
11,11,11,30,7,59
12,12,12,31,8,60
13,13,13,0,9,61
14,14,14,1,10,62
15,15,15,2,11,63
16,16,16,3,12,64
0,0,17,4,13,65
1,1,18,5,14,66
2,2,19,6,15,67
3,3,20,7,16,68
4,4,0,8,17,0
5,5,1,9,18,1
6,6,2,10,19,2
7,7,3,11,20,3
8,8,4,12,21,4
9,9,5,13,22,5
10,10,6,14,23,6
11,11,7,15,24,7
12,12,8,16,25,8
13,13,9,17,26,9
14,14,10,18,27,10
15,15,11,19,28,11
16,16,12,20,29,12
17,17,13,21,30,13
18,18,14,22,31,14
19,19,15,23,32,15
0,0,0,24,33,16
1,1,1,25,34,17
2,2,2,26,35,18
3,3,3,27,36,19
4,4,4,28,37,20
5,5,5,29,38,21
6,6,6,30,39,22
7,7,7,31,40,23
8,8,8,0,41,24
9,9,9,1,42,25
10,10,10,2,43,26
11,11,11,3,44,27
12,12,12,4,45,28
13,13,13,5,0,29
14,14,14,6,1,30
15,15,15,7,2,31
16,16,16,8,3,32
17,17,17,9,4,33
0,0,18,10,5,34
1,1,19,11,6,35
2,2,20,12,7,36
3,3,21,13,8,37
4,4,0,14,9,38
5,5,1,15,10,39
6,6,2,16,11,40
7,7,3,17,12,41
8,8,4,18,13,42
9,9,5,19,14,43
10,10,6,20,15,44
11,11,7,21,16,45
12,12,8,22,17,46
13,13,9,23,18,47
14,14,10,24,19,48
15,15,11,25,20,49
16,16,12,26,21,50
0,0,13,27,22,51
1,1,14,28,23,52
2,2,15,29,24,53
3,3,16,30,25,54
4,4,17,0,26,55
5,5,18,1,27,56
6,6,19,2,28,57
7,7,20,3,29,58
8,8,21,4,30,59
9,9,0,5,31,60
10,10,1,6,32,61
11,11,2,7,33,62
12,12,3,8,34,63
13,13,4,9,35,64
14,14,5,10,36,65
15,15,6,11,37,66
16,16,7,12,38,67
0,0,8,13,39,68
1,1,9,14,40,69
2,2,10,15,0,70
3,3,11,16,1,71
4,4,12,17,2,0
5,5,13,18,3,1
6,6,14,19,4,2
7,7,15,20,5,3
8,8,16,21,6,4
9,9,17,22,7,5
10,10,18,23,8,6
11,11,19,24,9,7
12,12,20,25,10,8
13,13,21,26,11,9
14,14,0,27,12,10
15,15,1,28,13,11
0,0,2,29,14,12
1,1,3,30,15,13
2,2,4,31,16,14
3,3,5,32,17,15
4,4,6,33,18,16
5,5,7,0,19,17
6,6,8,1,20,18
7,7,9,2,21,19
8,8,10,3,22,20
9,9,11,4,23,21
10,10,12,5,24,22
11,11,13,6,25,23
12,12,14,7,26,24
13,13,15,8,27,25
14,14,16,9,28,26
15,15,17,10,29,27
16,16,18,11,30,28
17,17,19,12,31,29
18,18,20,13,32,30
0,0,0,14,33,0
1,1,1,15,34,1
2,2,2,16,35,2
3,3,3,17,36,3
4,4,4,18,37,4
5,5,5,19,38,5
6,6,6,20,0,6
7,7,7,21,1,7
8,8,8,22,2,8
9,9,9,23,3,9
10,10,10,24,4,10
11,11,11,25,5,11
12,12,12,26,6,12
13,13,13,27,7,13
14,14,14,28,8,14
15,15,15,29,9,15
16,16,16,0,10,16
17,17,17,1,11,17
0,0,0,2,12,18
1,1,1,3,13,19
2,2,2,4,14,20
3,3,3,5,15,21
4,4,4,6,16,22
5,5,5,7,17,23
6,6,6,8,18,24
7,7,7,9,19,25
8,8,8,10,20,26
9,9,9,11,21,27
10,10,10,12,22,28
11,11,11,13,23,29
12,12,12,14,24,30
13,13,13,15,25,31
14,14,14,16,26,32
15,15,15,17,27,33
16,16,16,18,28,34
17,17,17,19,29,35
18,18,18,20,30,0
19,19,19,21,31,1
0,0,0,22,32,2
1,1,1,23,33,3
2,2,2,24,34,4
3,3,3,25,35,5
4,4,4,26,36,6
5,5,5,27,37,7
6,6,6,28,38,8
7,7,7,29,0,9
8,8,8,30,1,10
9,9,9,31,2,11
10,10,10,32,3,12
11,11,11,33,4,13
12,12,12,34,5,14
13,13,13,0,6,15
14,14,14,1,7,16
15,15,15,2,8,17
16,16,16,3,9,18
17,17,17,4,10,19
0,0,0,5,11,20
1,1,1,6,12,21
2,2,2,7,13,22
3,3,3,8,14,23
4,4,4,9,15,24
5,5,5,10,16,25
6,6,6,11,17,26
7,7,7,12,18,27
8,8,8,13,19,28
9,9,9,14,20,29
10,10,10,15,21,30
11,11,11,16,22,31
12,12,12,17,23,32
13,13,13,18,24,33
14,14,14,19,25,34
15,15,15,20,26,35
16,16,16,21,27,36
17,17,17,22,28,37
0,0,0,23,29,38
1,1,1,24,30,39
2,2,2,25,31,40
3,3,3,0,32,41
4,4,4,1,33,42
5,5,5,2,34,43
6,6,6,3,35,44
7,7,7,4,0,45
8,8,8,5,1,46
9,9,9,6,2,47
10,10,10,7,3,48
11,11,11,8,4,49
12,12,12,9,5,50
13,13,13,10,6,51
14,14,14,11,7,52
15,15,15,12,8,53
16,16,16,13,9,54
17,17,17,14,10,55
0,0,0,15,11,56
1,1,1,16,12,57
2,2,2,17,13,58
3,3,3,18,14,59
4,4,4,19,15,60
5,5,5,20,16,61
6,6,6,21,17,62
7,7,7,22,18,0
8,8,8,23,19,1
9,9,9,24,20,2
10,10,10,25,21,3
11,11,11,26,22,4
12,12,12,27,23,5
13,13,13,28,24,6
14,14,14,29,25,7
15,15,15,30,26,8
16,16,16,31,27,9
17,17,17,32,28,10
18,18,18,33,29,11
19,19,19,34,30,12
0,0,0,0,31,13
1,1,1,1,32,14
2,2,2,2,33,15
3,3,3,3,34,16
4,4,4,4,35,17
5,5,5,5,36,18
6,6,6,6,37,19
7,7,7,7,38,20
8,8,8,8,39,21
9,9,9,9,40,22
10,10,10,10,41,23
11,11,11,11,0,24
12,12,12,12,1,25
13,13,13,13,2,26
14,14,14,14,3,27
15,15,15,15,4,28
16,16,16,16,5,29
0,0,0,17,6,0
1,1,1,18,7,1
2,2,2,19,8,2
3,3,3,20,9,3
4,4,4,21,10,4
5,5,5,22,11,5
6,6,6,23,12,6
7,7,7,24,13,7
8,8,8,25,14,8
9,9,9,26,15,9
10,10,10,27,16,10
11,11,11,28,17,11
12,12,12,29,18,12
13,13,13,30,19,13
14,14,14,31,20,14
15,15,15,0,21,15
16,16,16,1,22,16
17,17,17,2,23,17
18,18,18,3,24,18
19,19,19,4,25,19
20,20,20,5,26,20
0,0,0,6,27,21
1,1,1,7,28,22
2,2,2,8,29,23
3,3,3,9,30,24
4,4,4,10,31,25
5,5,5,11,32,26
6,6,6,12,33,27
7,7,7,13,34,28
8,8,8,14,35,29
9,9,9,15,36,30
10,10,10,16,37,31
11,11,11,17,38,32
12,12,12,18,39,33
13,13,13,19,40,34
14,14,14,20,41,0
15,15,15,21,0,1
16,16,16,22,1,2
17,17,17,23,2,3
18,18,18,24,3,4
19,19,19,25,4,5
0,0,0,26,5,6
1,1,1,27,6,7
2,2,2,28,7,8
3,3,3,29,8,9
4,4,4,30,9,10
5,5,5,31,10,11
6,6,6,32,11,12
7,7,7,33,12,13
8,8,8,34,13,14
9,9,9,0,14,15
10,10,10,1,15,16
11,11,11,2,16,17
12,12,12,3,17,18
13,13,13,4,18,19
14,14,14,5,19,20
15,15,15,6,20,21
16,16,16,7,21,22
17,17,17,8,22,23
0,0,0,9,23,24
1,1,1,10,24,25
2,2,2,11,25,26
3,3,3,12,26,27
4,4,4,13,27,28
5,5,5,14,28,29
6,6,6,15,29,30
7,7,7,16,30,31
8,8,8,17,31,32
9,9,9,18,32,33
10,10,10,19,33,34
11,11,11,20,34,35
12,12,12,21,35,36
13,13,13,22,36,37
14,14,14,23,37,38
15,15,15,24,38,39
16,16,16,25,39,40
17,17,17,26,40,41
0,0,0,27,41,42
1,1,1,0,42,43
2,2,2,1,0,44
3,3,3,2,1,45
4,4,4,3,2,46
5,5,5,4,3,47
6,6,6,5,4,48
7,7,7,6,5,49
8,8,8,7,6,50
9,9,9,8,7,51
10,10,10,9,8,52
11,11,11,10,9,53
12,12,12,11,10,54
13,13,13,12,11,55
14,14,14,13,12,56
15,15,15,14,13,57
16,16,16,15,14,0
17,17,17,16,15,1
18,18,18,17,16,2
0,0,0,18,17,3
1,1,1,19,18,4
2,2,2,20,19,5
3,3,3,21,20,6
4,4,4,22,21,7
5,5,5,23,22,8
6,6,6,24,23,9
7,7,7,25,24,10
8,8,8,26,25,11
9,9,9,27,26,12
10,10,10,28,27,13
11,11,11,29,28,14
12,12,12,30,29,15
13,13,13,31,30,16
14,14,14,32,31,17
15,15,15,0,32,18
16,16,16,1,33,19
0,0,17,2,34,20
1,1,18,3,35,21
2,2,19,4,36,22
3,3,20,5,37,23
4,4,21,6,38,24
5,5,0,7,0,25
6,6,1,8,1,26
7,7,2,9,2,27
8,8,3,10,3,28
9,9,4,11,4,29
10,10,5,12,5,30
11,11,6,13,6,31
12,12,7,14,7,32
13,13,8,15,8,33
14,14,9,16,9,34
0,0,10,17,10,35
1,1,11,18,11,36
2,2,12,19,12,37
3,3,13,20,13,38
4,4,14,21,14,39
5,5,15,22,15,40
6,6,16,23,16,41
7,7,17,24,17,42
8,8,18,25,18,43
9,9,19,26,19,44
10,10,20,27,20,45
11,11,21,28,21,46
12,12,22,29,22,47
13,13,0,30,23,48
14,14,1,0,24,49
15,15,2,1,25,50
16,16,3,2,26,51
17,17,4,3,27,52
0,0,5,4,28,53
1,1,6,5,29,54
2,2,7,6,30,55
3,3,8,7,31,56
4,4,9,8,32,57
5,5,10,9,33,58
6,6,11,10,34,59
7,7,12,11,35,60
8,8,13,12,36,61
9,9,14,13,0,62
10,10,15,14,1,63
11,11,16,15,2,64
12,12,17,16,3,65
13,13,18,17,4,66
14,14,19,18,5,67
15,15,20,19,6,68
16,16,21,20,7,69
0,0,0,21,8,70
1,1,1,22,9,71
2,2,2,23,10,72
3,3,3,24,11,73
4,4,4,25,12,0
5,5,5,26,13,1
6,6,6,27,14,2
7,7,7,28,15,3
8,8,8,29,16,4
9,9,9,30,17,5
10,10,10,31,18,6
11,11,11,32,19,7
12,12,12,0,20,8
13,13,13,1,21,9
14,14,14,2,22,10
15,15,15,3,23,11
16,16,16,4,24,12
17,17,17,5,25,13
18,18,18,6,26,14
19,19,19,7,27,15
20,20,20,8,28,16
0,0,0,9,29,17
1,1,1,10,30,18
2,2,2,11,31,19
3,3,3,12,32,20
4,4,4,13,33,21
5,5,5,14,34,22
6,6,6,15,35,23
7,7,7,16,36,24
8,8,8,17,37,25
9,9,9,18,38,26
10,10,10,19,39,27
11,11,11,20,40,28
12,12,12,21,41,29
13,13,13,22,0,30
14,14,14,23,1,31
15,15,15,24,2,32
16,16,16,25,3,33
17,17,17,26,4,34
18,18,18,27,5,35
19,19,19,28,6,36
0,0,0,29,7,37
1,1,1,30,8,38
2,2,2,31,9,39
3,3,3,32,10,40
4,4,4,0,11,41
5,5,5,1,12,42
6,6,6,2,13,43
7,7,7,3,14,44
8,8,8,4,15,45
9,9,9,5,16,46
10,10,10,6,17,47
11,11,11,7,18,48
12,12,12,8,19,49
13,13,13,9,20,50
14,14,14,10,21,51
15,15,15,11,22,52
16,16,16,12,23,53
0,17,0,13,24,54
1,18,1,14,25,55
2,19,2,15,26,56
3,20,3,16,27,57
4,0,4,17,28,58
5,1,5,18,29,59
6,2,6,19,30,60
7,3,7,20,31,61
8,4,8,21,32,62
9,5,9,22,33,63
10,6,10,23,34,64
11,7,11,24,35,65
12,8,12,25,36,66
13,9,13,26,37,67
14,10,14,27,38,68
15,11,15,28,39,69
16,12,16,29,40,70
0,0,0,30,41,71
1,1,1,31,42,72
2,2,2,32,43,73
3,3,3,0,44,74
4,4,4,1,45,0
5,5,5,2,46,1
6,6,6,3,47,2
7,7,7,4,0,3
8,0,8,5,1,4
9,1,9,6,2,5
10,2,10,7,3,6
11,3,11,8,4,7
12,4,12,9,5,8
13,5,13,10,6,9
14,6,14,11,7,10
15,7,15,12,8,11
16,8,16,13,9,12
17,9,17,14,10,13
0,0,0,15,11,14
1,1,1,16,12,15
2,2,2,17,13,16
3,3,3,18,14,17
4,4,4,19,15,18
5,5,5,20,16,19
6,6,6,21,17,20
7,0,7,22,18,21
8,1,8,23,19,22
9,2,9,24,20,23
10,3,10,25,21,24
11,4,11,26,22,25
12,5,12,27,23,26
13,6,13,28,24,27
14,7,14,29,25,28
15,8,15,0,26,29
0,0,0,1,27,30
1,1,1,2,28,31
2,2,2,3,29,32
3,3,3,4,30,33
4,4,4,5,31,34
5,5,5,6,32,35
6,6,6,7,33,36
7,7,7,8,34,37
8,8,8,9,35,38
9,9,9,10,36,39
10,0,10,11,37,40
11,1,11,12,38,41
12,2,12,13,39,42
13,3,13,14,40,43
14,4,14,15,41,44
15,5,15,16,42,45
16,6,16,17,0,46
0,7,17,18,1,47
1,8,18,19,2,48
2,9,19,20,3,49
3,10,0,21,4,0
4,11,1,22,5,1
5,12,2,23,6,2
6,13,3,24,7,3
7,14,4,25,8,4
8,15,5,26,9,5
9,16,6,27,10,6
10,17,7,28,11,7
11,0,8,29,12,8
12,1,9,30,13,0
13,2,10,31,14,1
14,3,0,32,15,2
15,4,1,33,16,3
16,5,2,0,17,4
0,6,3,1,18,5
1,7,4,2,19,6
2,8,5,3,20,7
3,9,6,4,21,8
4,10,7,5,22,9
5,11,8,6,23,10
6,12,9,7,24,11
7,13,0,8,25,12
8,14,1,9,26,13
9,15,2,10,27,14
10,16,3,11,28,15
11,17,4,12,29,16
12,18,5,13,30,17
0,0,6,14,31,18
1,1,7,15,32,19
2,2,8,16,33,20
3,3,9,17,34,21
4,4,10,18,35,22
0,5,11,19,36,23
1,6,12,20,37,24
2,7,13,21,38,25
3,8,14,22,39,26
4,9,15,23,40,27
5,10,16,24,0,28
0,11,17,25,1,29
1,12,0,26,2,30
2,13,1,27,3,31
3,14,2,28,4,32
4,15,3,29,5,33
5,16,4,30,6,34
6,17,5,31,7,35
7,18,6,32,8,36
8,0,7,0,9,37
9,1,8,1,10,38
10,2,9,2,11,39
11,3,10,3,12,40
12,4,11,4,13,41
13,5,12,5,14,42
0,6,13,6,15,43
1,7,14,7,16,44
2,8,15,8,17,45
3,9,16,9,18,46
4,10,17,10,19,47
5,11,18,11,20,48
6,12,0,12,21,0
7,13,1,13,22,1
8,14,2,14,23,2
9,15,3,15,24,3
10,16,4,16,25,4
11,17,5,17,26,5
12,18,6,18,27,0
13,19,7,19,28,1
14,20,8,20,29,2
0,0,9,21,30,3
1,1,10,22,31,4
2,2,11,23,32,5
3,3,12,24,33,6
4,4,13,25,34,7
5,5,14,26,35,8
6,6,15,27,36,9
7,7,16,0,37,10
8,8,17,1,38,11
9,9,18,2,39,12
10,10,19,3,40,13
11,11,0,4,41,14
12,12,1,5,42,15
13,13,2,6,0,16
14,14,3,7,1,17
0,0,4,8,2,18
1,1,5,9,3,19
2,2,6,10,4,20
3,3,7,11,5,21
4,4,8,12,6,22
5,5,9,13,7,23
6,6,10,14,8,24
7,7,11,15,9,25
8,8,12,16,10,26
9,9,13,17,11,27
10,10,14,18,12,28
11,11,15,19,13,29
12,12,16,20,14,30
13,13,17,21,15,31
14,14,18,22,16,32
0,0,0,23,17,33
1,1,1,24,0,34
2,2,2,25,1,35
3,3,3,26,2,36
4,4,4,27,3,37
5,5,5,28,4,38
6,6,6,29,5,39
7,7,7,30,6,40
8,8,8,0,7,41
9,9,9,1,8,42
10,10,10,2,9,43
11,11,11,3,10,44
12,12,12,4,11,45
13,13,13,5,12,46
14,14,14,6,13,47
15,15,15,7,14,48
16,16,16,8,15,49
17,17,17,9,16,50
0,0,0,10,17,51
1,1,1,11,18,52
2,2,2,12,19,53
3,3,3,13,20,54
4,4,4,14,21,55
5,5,5,15,22,56
6,6,6,16,23,57
7,7,7,17,24,58
8,8,8,18,25,59
9,9,9,19,0,60
10,10,10,20,1,61
11,11,11,21,2,62
12,12,12,22,3,63
13,13,13,23,4,64
14,14,14,24,5,65
15,15,15,25,6,66
16,16,16,26,7,67
17,17,17,27,8,68
18,18,18,28,9,69
0,0,0,29,10,70
1,1,1,30,11,71
2,2,2,0,12,72
3,3,3,1,13,0
4,4,4,2,14,1
5,5,5,3,15,2
6,6,6,4,16,3
7,7,7,5,17,4
8,8,8,6,18,5
9,9,9,7,19,6
10,10,10,8,20,7
11,11,11,9,21,8
12,12,12,10,22,9
13,13,13,11,23,10
14,14,14,12,24,11
15,15,15,13,25,12
16,16,16,14,26,13
17,17,17,15,27,14
18,18,18,16,28,15
0,0,19,17,29,16
1,1,0,18,30,17
2,2,1,19,0,18
3,3,2,20,1,19
4,4,3,21,2,20
5,5,4,22,3,21
6,6,5,23,4,22
7,7,6,24,5,23
8,8,7,25,6,24
9,9,8,26,7,25
10,10,9,27,8,26
11,11,10,28,9,27
12,12,11,29,10,28
13,13,12,30,11,29
14,14,13,31,12,30
15,15,14,0,13,31
16,16,15,1,14,32
17,17,16,2,15,33
18,18,17,3,16,34
0,0,0,4,17,35
1,1,1,5,18,36
2,2,2,6,19,37
3,3,3,7,20,38
4,4,4,8,21,39
5,5,5,9,22,40
6,6,6,10,23,41
7,7,7,11,24,42
8,8,8,12,25,43
9,9,9,13,26,44
10,10,10,14,27,45
11,11,11,15,28,46
12,12,12,16,29,47
13,13,13,17,30,48
14,14,14,18,31,49
15,15,15,19,32,50
16,16,16,20,33,51
17,17,17,21,34,52
18,18,18,22,35,53
0,0,0,23,36,54
1,1,1,24,0,55
2,2,2,25,1,56
3,3,3,26,2,57
4,4,4,27,3,58
5,5,5,28,4,59
6,6,6,29,5,60
7,7,7,30,6,61
8,8,8,31,7,62
9,9,9,32,8,63
10,10,10,33,9,64
11,11,11,34,10,65
12,12,12,35,11,66
13,13,13,0,12,67
14,14,14,1,13,68
15,15,15,2,14,69
16,16,16,3,15,70
17,17,17,4,16,0
18,18,18,5,17,1
0,0,0,6,18,2
1,1,1,7,19,3
2,2,2,8,20,4
3,3,3,9,21,5
4,4,4,10,22,6
5,5,5,11,23,7
6,6,6,12,24,8
7,7,7,13,25,9
8,8,8,14,26,10
9,9,9,15,27,11
10,10,10,16,28,12
11,11,11,17,29,13
12,12,12,18,30,14
13,13,13,19,31,15
14,14,14,20,32,16
15,15,15,21,33,17
16,16,16,22,0,18
17,17,17,23,1,19
0,0,0,24,2,20
1,1,1,25,3,21
2,2,2,26,4,22
3,3,3,27,5,23
4,4,4,28,6,24
5,5,5,0,7,25
6,6,6,1,8,26
7,7,7,2,9,27
8,8,8,3,10,28
9,9,9,4,11,29
10,10,10,5,12,30
11,11,11,6,13,31
12,12,12,7,14,32
13,13,13,8,15,33
14,14,14,9,16,34
15,15,15,10,17,35
16,16,16,11,18,36
17,17,17,12,19,37
18,18,18,13,20,38
0,0,0,14,21,0
1,1,1,15,22,1
2,2,2,16,23,2
3,3,3,17,24,3
4,4,4,18,25,4
5,5,5,19,26,5
6,6,6,20,27,6
7,7,7,21,28,7
8,8,8,22,29,8
9,9,9,23,30,9
10,10,10,24,0,10
11,11,11,25,1,11
12,12,12,26,2,12
13,13,13,27,3,13
14,14,14,28,4,14
15,15,15,29,5,15
16,16,16,30,6,16
17,17,17,0,7,17
0,0,0,1,8,18
1,1,1,2,9,19
2,2,2,3,10,20
3,3,3,4,11,21
4,4,4,5,12,22
5,5,5,6,13,23
6,6,6,7,14,24
7,7,7,8,15,25
8,8,8,9,16,0
9,9,9,10,17,1
10,10,10,11,18,2
11,11,11,12,19,3
12,12,12,13,20,4
13,13,13,14,21,5
14,14,14,15,22,6
15,15,15,16,23,7
16,16,16,17,0,8
0,0,17,18,1,9
1,1,18,19,2,10
2,2,19,20,3,11
3,3,20,21,4,12
4,4,0,22,5,13
5,5,1,23,6,14
6,6,2,24,7,15
7,7,3,25,8,16
8,8,4,26,9,17
9,9,5,27,10,18
10,10,6,28,11,19
11,11,7,0,12,20
12,12,8,1,13,21
13,13,9,2,14,22
14,14,10,3,15,23
15,15,11,4,16,24
16,16,12,5,17,25
17,17,13,6,18,26
0,0,14,7,19,27
1,1,15,8,20,28
2,2,16,9,21,29
3,3,17,10,22,30
4,4,18,11,23,31
5,5,19,12,24,32
6,6,0,13,25,33
7,7,1,14,26,34
8,8,2,15,27,35
9,9,3,16,28,36
10,10,4,17,29,37
11,11,5,18,30,38
12,12,6,19,31,39
13,13,7,20,32,40
14,14,8,21,33,41
15,15,9,22,34,42
16,16,10,23,35,43
17,17,11,24,36,44
18,18,12,25,37,45
0,0,13,26,38,46
1,1,14,27,39,47
2,2,15,28,40,48
3,3,16,0,41,49
4,4,17,1,42,50
5,5,18,2,43,51
6,6,19,3,44,52
7,7,20,4,45,53
8,8,21,5,46,54
9,9,0,6,0,55
10,10,1,7,1,56
11,11,2,8,2,57
12,12,3,9,3,58
13,13,4,10,4,59
14,14,5,11,5,60
15,15,6,12,6,61
16,16,7,13,7,62
0,0,8,14,8,63
1,1,9,15,9,64
2,2,10,16,10,65
3,3,11,17,11,66
4,4,12,18,12,67
5,5,13,19,13,68
6,6,14,20,14,0
7,7,15,21,15,1
8,8,16,22,16,2
9,9,17,23,17,3
10,10,18,24,18,4
11,11,19,25,19,5
12,12,20,26,20,6
13,13,0,27,21,7
14,14,1,28,22,8
15,15,2,29,23,9
16,16,3,0,24,10
17,17,4,1,25,11
18,18,5,2,26,12
19,19,6,3,27,13
0,0,7,4,28,14
1,1,8,5,29,15
2,2,9,6,30,16
3,3,10,7,31,17
4,4,11,8,32,18
5,5,12,9,33,19
6,6,13,10,34,20
7,7,14,11,35,21
8,8,15,12,36,22
9,9,16,13,37,23
10,10,17,14,38,24
11,11,18,15,39,25
12,12,19,16,40,26
13,13,20,17,0,27
14,14,21,18,1,28
0,0,0,19,2,29
1,1,1,20,3,30
2,2,2,21,4,31
3,3,3,22,5,32
4,4,4,23,6,33
5,5,5,24,7,34
6,6,6,25,8,35
7,7,7,26,9,36
8,8,8,27,10,37
9,9,9,28,11,38
10,10,10,29,12,39
11,11,11,30,13,40
12,12,12,0,14,41
13,13,13,1,15,42
14,14,14,2,16,43
15,15,15,3,17,44
16,16,16,4,18,45
17,17,17,5,19,46
0,0,0,6,20,47
1,1,1,7,21,48
2,2,2,8,22,49
3,3,3,9,23,50
4,4,4,10,24,51
5,5,5,11,25,52
6,6,6,12,26,53
7,7,7,13,27,54
8,8,8,14,28,55
9,9,9,15,29,0
10,10,10,16,30,1
11,11,11,17,31,2
12,12,12,18,32,3
13,13,13,19,33,4
14,14,14,20,34,5
15,15,15,21,35,6
16,16,16,22,36,7
17,17,17,23,37,8
18,18,18,24,38,9
0,0,0,25,0,10
1,1,1,26,1,11
2,2,2,27,2,12
3,3,3,0,3,13
4,4,4,1,4,14
5,5,5,2,5,15
6,6,6,3,6,16
7,7,7,4,7,17
8,8,8,5,8,18
9,9,9,6,9,19
10,10,10,7,10,20
11,11,11,8,11,21
12,12,12,9,12,22
13,13,13,10,13,23
14,14,14,11,14,24
15,15,15,12,15,25
16,16,16,13,16,26
17,17,17,14,17,27
0,0,0,15,18,28
1,1,1,16,19,29
2,2,2,17,20,30
3,3,3,18,21,31
4,4,4,19,22,32
5,5,5,20,23,33
6,6,6,21,24,34
7,7,7,22,25,35
8,8,8,23,26,36
9,9,9,24,27,37
10,10,10,25,28,38
11,11,11,26,29,39
12,12,12,27,30,40
13,13,13,0,31,41
14,14,14,1,32,42
15,15,15,2,33,43
16,16,16,3,34,44
17,17,17,4,35,45
18,18,18,5,36,46
0,0,0,6,37,0
1,1,1,7,38,1
2,2,2,8,39,2
3,3,3,9,40,3
4,4,4,10,41,4
5,5,5,11,42,5
6,6,6,12,43,6
7,7,7,13,0,7
8,8,8,14,1,8
9,9,9,15,2,9
10,10,10,16,3,10
11,11,11,17,4,11
12,12,12,18,5,12
13,13,13,19,6,13
14,14,14,20,7,14
15,15,15,21,8,15
16,16,16,22,9,16
0,0,17,23,10,17
1,1,18,24,11,18
2,2,19,25,12,19
3,3,20,26,13,20
4,4,21,27,14,21
5,5,0,28,15,22
6,6,1,29,16,23
7,7,2,30,17,24
8,8,3,31,18,25
9,9,4,0,19,26
10,10,5,1,20,27
11,11,6,2,21,28
12,12,7,3,22,29
13,13,8,4,23,30
14,14,9,5,24,31
15,15,10,6,25,32
16,16,11,7,26,33
0,0,12,8,27,34
1,1,13,9,28,35
2,2,14,10,29,36
3,3,15,11,30,37
4,4,16,12,31,38
5,5,17,13,32,39
6,6,18,14,33,40
7,7,19,15,34,0
8,8,20,16,35,1
9,9,0,17,36,2
10,10,1,18,37,3
11,11,2,19,38,4
12,12,3,20,0,5
13,13,4,21,1,6
14,14,5,22,2,7
15,15,6,23,3,8
16,16,7,24,4,9
17,17,8,25,5,10
18,18,9,26,6,11
0,0,10,27,7,12
1,1,11,28,8,13
2,2,12,29,9,14
3,3,13,30,10,15
4,4,14,31,11,16
5,5,15,0,12,17
6,6,16,1,13,18
7,7,17,2,14,19
8,8,18,3,15,20
9,9,19,4,16,21
10,10,20,5,17,22
11,11,21,6,18,23
12,12,0,7,19,24
13,13,1,8,20,25
14,14,2,9,21,26
15,15,3,10,22,27
16,16,4,11,23,28
17,17,5,12,24,29
0,0,6,13,25,30
1,1,7,14,26,31
2,2,8,15,27,32
3,3,9,16,28,33
4,4,10,17,29,34
5,5,11,18,30,35
6,6,12,19,31,36
7,7,13,20,32,37
8,8,14,21,33,38
9,9,15,22,34,39
10,10,16,23,35,40
11,11,17,24,36,41
12,12,18,25,37,42
0,0,0,26,38,43
1,1,1,27,39,44
2,2,2,28,40,45
3,3,3,29,41,46
0,4,4,30,42,47
1,5,5,0,0,48
2,6,6,1,1,49
3,7,7,2,2,50
4,8,8,3,3,51
5,9,9,4,4,52
6,10,10,5,5,53
7,11,11,6,6,54
8,12,12,7,7,55
9,13,13,8,8,56
10,14,14,9,9,57
0,0,15,10,10,58
1,1,16,11,11,59
0,2,0,12,12,60
1,3,1,13,13,61
2,4,2,14,14,62
3,5,3,15,15,63
4,6,4,16,16,64
5,7,5,17,17,0
6,8,6,18,18,1
7,9,7,19,19,2
8,10,8,20,20,3
9,11,9,21,21,4
10,12,10,22,22,5
11,13,11,23,23,6
12,14,12,24,24,7
0,15,13,25,25,8
1,16,14,26,26,9
2,17,15,27,27,10
3,18,16,28,28,11
0,0,17,29,29,12
1,1,18,30,30,13
2,2,19,31,31,14
3,3,0,32,32,15
4,4,1,0,33,16
5,5,2,1,34,17
6,6,3,2,35,18
7,7,4,3,36,19
8,8,5,4,37,20
9,9,6,5,38,21
10,10,7,6,39,22
11,11,8,7,40,23
12,12,9,8,41,24
13,13,10,9,42,25
14,14,11,10,43,26
15,15,12,11,44,27
16,16,13,12,45,28
17,17,14,13,46,29
