,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
470,1,1,1,0,0,0,0,0,0,1,0,0
471,1,1,0,0,0,0,0,0,0,0,0,0
472,2,1,0,0,1,0,0,0,1,0,0,0
473,1,1,1,1,1,0,0,0,0,0,0,0
474,0,0,1,1,0,0,0,0,0,0,0,0
475,1,2,1,1,1,0,0,0,0,0,0,0
476,1,1,0,1,1,0,0,0,1,0,0,0
477,1,1,1,1,0,0,0,0,0,0,0,0
478,1,1,0,1,1,0,0,0,0,0,0,0
479,1,1,1,0,0,0,0,0,0,0,0,0
480,1,1,0,0,0,0,0,0,0,0,0,0
481,1,0,1,0,0,0,0,0,0,0,0,0
482,1,1,1,0,1,0,0,0,0,0,0,0
483,1,1,0,0,1,0,0,0,0,0,0,0
484,1,1,1,1,0,0,0,0,0,0,0,0
485,0,0,1,1,1,0,1,1,0,0,0,0
486,0,1,1,1,0,0,1,1,0,0,0,0
487,1,0,1,1,0,1,0,1,0,0,0,0
488,1,1,1,1,0,1,0,0,0,0,1,0
489,0,0,1,0,0,0,0,0,0,0,0,0
490,1,1,1,0,1,0,0,0,0,1,0,0
491,1,1,0,1,0,0,0,0,1,0,0,0
492,0,0,0,1,0,0,0,0,0,0,0,0
493,0,0,1,1,1,0,0,0,0,0,0,0
494,1,1,1,0,0,0,0,0,0,1,0,0
