,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
477,1,0,1,1,0,0,0,0,0,0,0,0
478,1,0,1,1,0,0,0,0,0,0,0,0
479,1,0,1,1,0,0,0,0,0,0,0,0
480,1,0,1,1,0,0,0,0,0,0,0,0
481,1,0,1,1,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0,1,1,0,0,0,0
488,1,1,0,0,0,0,0,0,0,0,0,0
489,1,1,0,0,0,0,0,0,0,0,0,0
490,1,1,0,0,0,0,0,0,0,0,0,0
491,1,1,0,0,0,0,0,0,0,0,0,0
492,1,1,0,0,0,0,0,0,1,0,0,0
493,1,1,1,0,0,0,0,0,0,0,0,0
494,1,1,1,0,0,0,0,0,0,0,0,0
495,1,1,1,0,0,0,0,0,0,0,0,0
496,1,1,1,0,0,0,0,0,0,0,0,0
497,1,1,1,0,0,0,0,0,0,0,0,0
498,0,0,1,0,0,0,0,0,0,0,0,0
499,0,0,1,0,0,0,0,0,0,0,1,0
500,0,0,1,0,1,0,0,0,0,0,0,0
501,0,0,1,0,1,0,0,0,0,0,0,0
502,0,0,1,0,1,0,0,0,0,0,0,0
503,0,0,0,0,1,0,0,0,0,0,0,0
504,0,0,0,0,1,0,0,0,0,1,0,0
505,0,0,0,1,1,0,1,1,0,0,0,0
506,1,1,0,1,1,0,0,0,0,0,0,0
507,1,1,0,1,1,0,0,0,0,0,0,0
508,1,1,0,1,1,0,0,0,0,0,0,0
509,1,1,0,1,1,0,0,0,0,0,0,0
510,1,1,0,1,0,0,0,0,0,0,0,0
511,1,1,0,1,0,0,0,0,0,0,0,0
512,1,1,0,1,0,0,0,0,0,0,0,0
513,1,1,0,1,0,0,0,0,0,0,0,0
514,1,1,0,1,0,0,0,0,0,0,0,0
515,1,1,0,0,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,1,0,0,1
517,0,0,1,0,0,1,0,0,0,0,0,0
518,0,0,1,0,0,1,0,0,0,0,0,0
519,0,0,1,0,0,1,0,0,0,0,0,0
520,0,0,1,0,0,1,0,0,0,0,0,0
521,0,0,1,0,0,1,0,0,0,0,0,0
522,0,0,1,0,0,1,0,0,0,0,0,0
523,0,0,1,0,0,1,1,1,0,0,0,0
524,1,1,1,0,0,1,0,0,0,0,0,0
525,1,1,1,0,0,1,0,0,0,0,0,0
526,1,1,1,0,0,1,0,0,0,0,0,0
