,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
971,1,1,3,9,1,22
972,2,2,4,10,2,23
973,3,3,5,0,3,24
974,4,4,0,1,4,25
975,5,5,1,2,5,26
976,6,6,2,3,6,27
977,0,0,3,4,7,28
978,1,1,4,5,8,29
979,2,2,5,6,9,30
980,3,3,0,7,10,31
981,4,4,1,8,11,32
982,0,0,2,0,12,33
983,1,1,3,1,13,34
984,2,2,4,2,14,35
985,3,3,5,3,0,36
986,4,4,6,4,1,37
987,5,5,7,5,2,38
988,0,0,0,6,3,0
989,1,1,1,7,4,1
990,2,2,2,8,5,2
991,3,3,3,9,6,3
992,4,4,4,0,7,4
993,5,5,5,1,8,5
994,0,0,0,2,9,6
995,1,1,1,3,10,7
996,2,2,2,4,11,8
997,3,3,3,5,12,9
998,4,4,4,6,0,10
999,5,5,5,7,1,11
1000,6,6,6,8,2,12
1001,0,0,0,0,3,13
1002,1,1,1,1,4,14
1003,2,2,2,2,5,15
1004,3,3,3,3,6,16
1005,4,4,4,4,7,17
1006,5,5,5,5,8,18
1007,0,0,0,6,9,19
1008,1,1,1,7,10,20
1009,2,2,2,8,11,21
1010,3,3,3,0,12,22
1011,4,4,4,1,13,23
1012,5,5,5,2,0,24
1013,6,6,6,3,1,25
1014,0,0,0,4,2,26
1015,1,1,1,5,3,27
1016,2,2,2,6,4,28
1017,3,3,3,7,5,29
1018,4,4,4,8,6,30
1019,5,5,5,9,7,0
1020,0,0,0,10,8,1
1021,1,1,1,0,9,2
1022,2,2,2,1,10,3
1023,3,3,3,2,11,4
1024,4,4,4,3,12,5
1025,5,5,5,4,13,6
1026,6,6,6,5,0,7
1027,0,0,0,6,1,0
1028,1,1,1,7,2,1
1029,2,2,2,8,3,2
1030,3,3,3,9,4,3
1031,4,4,4,10,5,4
1032,0,0,5,11,6,5
1033,1,1,0,12,7,6
1034,2,2,1,0,8,7
1035,3,3,2,1,9,8
1036,4,4,3,2,10,9
1037,5,5,4,3,11,10
1038,0,0,5,4,12,11
1039,1,1,6,5,13,12
1040,2,2,0,6,0,13
1041,3,3,1,7,1,14
1042,4,4,2,0,2,15
1043,0,0,3,1,3,16
1044,1,1,4,2,4,0
1045,2,2,5,3,5,1
1046,3,3,6,4,6,2
1047,4,4,0,5,7,3
1048,5,5,1,6,8,4
1049,0,0,2,7,9,5
1050,1,1,3,8,10,6
1051,2,2,4,9,11,7
1052,3,3,5,10,12,8
1053,4,4,6,0,13,9
1054,0,0,0,1,0,10
1055,1,1,1,2,1,11
1056,0,2,2,3,2,12
1057,1,3,3,4,3,13
1058,2,4,4,5,4,14
1059,3,5,5,6,5,15
1060,0,0,6,7,6,16
1061,1,1,0,8,7,17
1062,2,2,1,9,8,18
1063,3,3,2,10,9,19
1064,4,4,3,0,10,20
1065,5,5,4,1,11,21
1066,0,0,5,2,12,22
1067,1,1,6,3,0,23
1068,2,2,7,4,1,24
1069,3,3,0,5,2,0
1070,4,4,1,6,3,1
1071,5,5,2,7,4,2
1072,0,0,3,8,5,3
1073,1,1,4,9,6,4
1074,2,2,5,10,7,5
1075,3,3,6,0,8,6
1076,4,4,0,1,9,7
1077,5,5,1,2,10,8
1078,0,0,2,3,11,9
1079,1,1,3,4,12,10
1080,2,2,4,5,13,11
1081,3,3,5,6,14,12
1082,4,4,6,7,0,13
1083,5,5,0,0,1,14
1084,6,6,1,1,2,15
1085,0,0,2,2,3,16
1086,1,1,3,3,4,17
1087,2,2,4,4,5,18
1088,3,3,5,5,6,0
1089,4,4,6,6,7,1
1090,5,5,7,7,8,2
1091,0,0,0,8,9,3
1092,1,1,1,0,10,4
1093,2,2,2,1,11,5
1094,3,3,3,2,12,6
1095,4,4,4,3,13,7
1096,5,5,5,4,0,8
1097,0,0,0,5,1,9
1098,1,1,1,6,2,10
1099,2,2,2,7,3,11
1100,3,3,3,8,4,12
1101,4,4,4,9,5,13
1102,0,0,5,0,6,14
1103,1,1,6,1,7,15
1104,2,2,0,2,8,16
1105,3,3,1,3,9,17
1106,4,4,2,4,10,18
1107,0,0,3,5,11,19
1108,1,1,4,6,12,20
1109,2,2,5,7,13,21
1110,3,3,0,8,0,0
1111,4,4,1,9,1,1
1112,5,5,2,0,2,2
1113,0,0,3,1,3,3
1114,1,1,4,2,4,4
1115,2,2,5,3,5,5
1116,3,3,6,4,6,6
1117,4,4,7,5,7,7
1118,5,5,0,6,8,8
1119,0,0,1,0,9,9
1120,1,1,2,1,10,10
1121,2,2,3,2,11,11
1122,3,3,4,3,12,12
1123,4,4,5,4,13,13
1124,0,0,0,5,14,14
1125,1,1,1,0,0,15
1126,2,2,2,1,1,16
1127,3,3,3,2,2,17
1128,4,4,4,3,3,18
1129,5,5,5,0,4,19
1130,0,0,0,1,5,20
1131,1,1,1,2,6,21
1132,2,2,2,3,7,22
1133,3,3,3,4,8,23
1134,4,4,4,5,9,24
1135,5,5,5,6,10,25
1136,6,6,6,0,11,0
1137,0,0,0,1,12,1
1138,1,1,1,2,13,2
1139,2,2,2,3,0,3
1140,3,3,3,4,1,4
1141,4,4,4,5,2,5
1142,5,5,5,6,3,6
1143,0,0,0,7,4,7
1144,1,1,1,8,5,8
1145,2,2,2,0,6,9
1146,3,3,3,1,7,10
1147,4,4,4,2,8,11
1148,0,0,5,3,9,12
1149,1,1,0,4,10,13
1150,2,2,1,5,11,14
1151,3,3,2,6,12,15
1152,4,4,3,0,0,16
1153,0,0,4,1,1,17
1154,1,1,5,2,2,0
1155,2,2,6,3,3,1
1156,3,3,7,4,4,2
1157,4,4,0,0,5,3
1158,5,5,1,1,6,4
1159,0,0,2,2,7,5
1160,1,1,3,3,8,6
1161,2,2,4,4,9,7
1162,3,3,5,5,10,8
1163,4,4,0,0,11,9
1164,5,5,1,1,12,10
1165,0,0,2,2,13,11
1166,1,1,3,3,14,12
1167,2,2,4,4,15,13
1168,3,3,5,5,0,14
1169,4,4,6,6,1,15
1170,5,5,0,7,2,0
1171,0,0,1,8,3,1
1172,1,1,2,9,4,2
1173,2,2,3,0,5,3
1174,3,3,4,1,6,4
1175,0,4,5,2,7,5
1176,0,0,6,3,8,6
1177,1,1,0,4,9,7
1178,2,2,1,5,10,8
1179,3,3,2,6,11,9
1180,0,4,3,7,12,10
1181,1,5,4,8,13,11
1182,2,0,5,9,14,12
1183,3,1,6,0,0,13
1184,4,2,0,1,1,0
1185,0,3,1,2,2,1
1186,1,4,2,3,3,2
1187,2,5,3,4,4,3
1188,3,6,4,5,5,4
1189,0,0,5,6,6,5
1190,1,1,6,7,7,6
1191,0,2,0,8,8,0
1192,1,3,1,9,9,1
1193,2,4,2,10,10,2
1194,3,5,3,0,11,3
1195,0,0,4,1,12,4
1196,1,1,5,2,13,5
1197,0,2,6,3,0,6
1198,1,3,7,4,1,7
1199,0,0,0,5,2,8
1200,1,1,1,6,3,9
1201,2,0,2,7,4,10
1202,3,1,3,8,5,11
1203,4,2,4,0,6,12
1204,5,3,5,1,7,13
1205,0,0,6,2,8,14
1206,1,1,0,3,9,15
1207,2,0,1,4,10,16
1208,3,1,2,5,11,17
1209,4,2,3,6,12,18
1210,5,3,4,7,13,19
1211,0,0,5,8,0,20
1212,1,1,6,9,1,21
1213,2,2,0,10,2,22
1214,3,3,1,11,3,0
1215,4,4,2,0,4,1
1216,0,0,3,1,5,2
1217,1,1,4,2,6,3
1218,2,2,5,3,7,4
1219,3,3,6,4,8,5
1220,4,4,0,5,9,6
1221,0,0,1,6,10,7
1222,0,1,2,7,11,8
1223,1,2,3,8,12,9
1224,2,3,4,9,13,10
1225,3,4,5,0,14,11
1226,4,5,6,1,0,12
1227,0,0,7,2,1,13
1228,1,1,0,3,2,14
1229,2,2,1,4,3,15
1230,3,3,2,5,4,16
1231,4,4,3,6,5,17
1232,5,5,4,7,6,18
1233,0,0,5,8,7,19
1234,1,1,6,9,8,20
1235,2,2,0,0,9,21
1236,3,3,1,1,10,22
1237,4,4,2,2,11,23
1238,0,0,3,3,12,24
1239,1,1,4,4,13,25
1240,2,2,5,5,0,26
1241,3,3,0,6,1,27
1242,4,4,1,7,2,28
1243,5,5,2,8,3,29
1244,0,0,3,9,4,30
1245,1,1,4,10,5,31
1246,2,2,5,11,6,32
1247,3,3,6,0,7,33
1248,0,4,0,1,8,0
1249,1,5,1,2,9,1
1250,2,0,2,3,10,2
1251,3,1,3,4,11,3
1252,4,2,4,5,12,4
1253,5,3,5,6,13,5
1254,0,4,0,7,14,6
1255,1,5,1,8,0,7
1256,2,0,2,9,1,8
1257,3,1,3,10,2,9
1258,4,2,4,0,3,10
1259,5,3,5,1,4,11
1260,0,0,6,2,5,12
1261,1,1,0,3,6,13
1262,2,2,1,4,7,14
1263,3,0,2,5,8,15
1264,4,1,3,6,9,16
1265,5,2,4,7,0,17
1266,0,0,5,8,1,18
1267,1,1,6,9,2,19
1268,2,2,0,10,3,20
1269,3,0,1,11,4,21
1270,4,1,2,0,5,22
1271,0,2,3,1,6,23
1272,1,3,4,2,7,24
1273,2,4,0,3,8,25
1274,3,5,1,4,9,26
1275,4,6,2,5,10,27
1276,0,0,3,6,11,28
1277,1,1,4,7,12,29
1278,2,2,5,8,13,30
1279,0,3,0,9,14,31
1280,1,4,1,10,0,32
1281,2,5,2,11,1,33
1282,3,6,3,0,2,34
1283,4,7,4,1,3,35
1284,0,0,5,2,4,36
1285,1,1,6,3,5,37
1286,2,2,0,4,6,38
1287,3,3,1,5,7,39
1288,4,4,2,6,8,40
1289,0,0,3,7,9,41
1290,1,1,4,8,10,42
1291,2,2,5,9,11,43
1292,0,3,0,10,12,0
1293,1,4,1,0,13,1
1294,2,5,2,1,14,2
1295,0,0,3,2,15,3
1296,1,1,4,3,0,4
1297,2,2,5,4,1,5
1298,0,3,0,5,2,6
1299,1,4,1,6,3,7
1300,2,5,2,7,4,8
1301,3,0,3,8,5,9
1302,4,1,4,9,6,10
1303,5,2,5,0,7,11
1304,6,3,6,1,8,12
1305,0,4,0,2,9,13
1306,1,5,1,3,10,14
1307,2,6,2,4,11,15
1308,3,0,3,5,12,16
1309,4,1,4,6,0,17
1310,5,2,5,7,1,18
1311,0,3,6,8,2,19
1312,1,4,0,9,3,20
1313,2,5,1,10,4,21
1314,3,0,2,0,5,22
1315,4,1,3,1,6,23
1316,5,2,4,2,7,24
1317,0,3,0,3,8,25
1318,1,4,1,4,9,26
1319,2,5,2,5,10,27
1320,3,0,3,6,11,28
1321,4,1,4,7,12,29
1322,5,2,5,8,13,30
1323,6,3,6,9,14,31
1324,0,4,0,10,0,32
1325,1,5,1,0,1,33
1326,2,6,2,1,2,34
1327,0,0,3,2,3,35
1328,1,1,4,3,4,36
1329,2,2,5,4,5,37
1330,3,3,6,5,6,38
1331,0,4,0,6,7,0
1332,1,5,1,7,8,1
1333,2,0,2,8,9,2
1334,3,1,3,0,10,3
1335,4,2,4,1,11,4
1336,5,3,5,2,12,5
1337,0,0,0,3,13,6
1338,1,1,1,4,0,7
1339,2,0,2,5,1,8
1340,3,1,3,6,2,9
1341,4,2,4,7,3,10
1342,5,3,5,8,4,11
1343,0,0,0,9,5,12
1344,1,1,1,0,6,13
1345,2,2,2,1,7,14
1346,3,3,3,2,8,15
1347,4,4,4,3,9,16
1348,5,5,5,4,10,17
1349,6,6,6,5,11,18
1350,0,0,0,6,12,19
1351,1,1,1,7,0,20
1352,2,2,2,8,1,21
1353,3,3,3,9,2,0
1354,4,4,4,10,3,1
1355,5,5,5,0,4,2
1356,6,6,6,1,5,3
1357,0,0,0,2,6,0
1358,1,1,1,3,7,1
1359,2,2,2,4,8,2
1360,3,3,3,5,9,3
1361,4,4,0,6,0,4
1362,5,5,1,7,1,5
1363,0,0,2,8,2,6
1364,1,1,3,9,3,7
1365,2,2,4,10,4,8
1366,3,3,0,11,5,9
1367,4,4,1,0,6,10
1368,5,5,2,1,7,11
1369,0,0,0,2,8,12
1370,1,1,1,3,9,13
1371,2,2,2,4,10,14
1372,3,3,3,5,11,15
1373,4,4,0,6,12,0
1374,5,5,1,7,13,1
1375,6,6,2,0,14,2
1376,0,0,3,1,15,3
1377,1,1,4,2,0,4
1378,2,2,5,3,1,5
1379,3,3,0,4,2,6
1380,4,4,1,5,3,7
1381,5,5,2,6,4,8
1382,0,0,3,7,5,9
1383,1,1,4,8,6,10
1384,2,2,5,9,7,11
1385,3,3,0,10,8,12
1386,4,4,1,0,9,13
1387,5,5,2,1,10,14
1388,0,0,3,2,11,15
1389,1,1,0,3,12,16
1390,2,2,1,4,13,17
1391,3,3,2,5,14,18
1392,4,4,0,6,0,19
1393,5,5,1,7,1,20
1394,0,0,2,8,2,21
1395,1,1,3,9,3,22
1396,2,2,0,0,4,23
1397,3,3,1,1,5,24
1398,4,4,2,2,6,0
1399,5,5,3,3,7,1
1400,0,0,4,4,8,2
1401,1,1,5,5,9,3
1402,2,2,6,6,10,4
1403,3,3,0,7,11,5
1404,4,4,1,8,12,6
1405,0,0,2,9,13,7
1406,1,1,3,10,0,8
1407,2,2,4,0,1,9
1408,3,3,5,1,2,10
1409,4,4,6,2,3,11
1410,0,0,0,3,4,12
1411,1,1,1,4,5,13
1412,2,2,2,5,6,14
1413,3,3,3,6,7,15
1414,4,4,4,7,8,16
1415,5,5,5,8,9,17
1416,6,6,6,9,10,18
1417,0,0,0,0,11,19
1418,1,1,1,1,12,20
1419,2,2,2,2,13,21
1420,3,3,3,3,0,22
1421,4,4,4,4,1,23
1422,5,5,5,5,2,24
1423,0,0,0,6,3,0
1424,1,1,1,7,4,1
1425,2,2,2,8,5,2
1426,3,3,3,9,6,3
1427,4,4,4,10,7,4
1428,0,0,5,0,8,5
1429,1,1,0,1,9,6
1430,2,2,1,2,10,7
1431,3,3,2,3,11,8
1432,4,4,3,4,12,9
1433,5,5,4,5,13,10
1434,0,0,5,6,0,11
1435,1,1,6,7,1,12
1436,2,2,0,8,2,0
1437,3,3,1,9,3,1
1438,4,4,2,0,4,2
1439,5,5,3,1,5,3
1440,0,0,4,2,6,4
1441,1,1,5,3,7,5
1442,2,2,6,4,8,6
1443,3,3,0,5,9,7
1444,4,4,1,6,10,8
1445,5,5,2,7,11,9
1446,0,0,3,8,12,10
1447,1,1,4,9,0,11
1448,2,2,5,10,1,12
1449,3,3,0,11,2,13
1450,4,4,1,0,3,14
1451,5,5,2,1,4,15
1452,0,0,3,2,5,16
1453,1,1,4,3,6,17
1454,2,2,5,4,7,18
1455,3,3,6,5,8,19
1456,4,4,7,0,9,20
1457,0,0,0,1,10,21
1458,1,1,1,2,11,0
1459,2,2,2,0,12,1
1460,3,3,3,1,13,2
1461,4,0,4,2,0,3
1462,5,1,5,3,1,4
1463,0,0,0,4,2,5
1464,1,1,1,5,3,6
1465,2,2,2,6,4,7
1466,3,3,3,7,5,8
1467,4,4,4,8,6,9
1468,0,0,5,9,7,10
1469,1,1,6,10,8,11
1470,2,2,7,0,9,12
1471,3,3,0,1,10,0
1472,4,4,1,2,11,1
1473,5,5,2,3,12,2
1474,0,0,3,4,13,3
1475,1,1,4,5,0,4
1476,2,2,5,6,1,5
1477,3,3,6,7,2,6
1478,4,4,7,8,3,7
1479,5,5,0,9,4,8
1480,0,0,1,0,5,9
1481,1,1,2,1,6,10
1482,2,2,3,2,7,0
1483,3,3,4,3,8,1
1484,4,4,5,4,9,2
1485,5,0,6,5,10,3
1486,0,1,0,6,11,4
1487,1,2,1,7,12,5
1488,2,3,2,8,13,6
1489,3,4,3,9,14,7
1490,0,0,4,0,15,8
1491,0,1,5,1,0,9
1492,1,2,6,2,1,10
1493,2,3,0,3,2,11
1494,3,4,1,4,3,12
1495,4,5,2,5,4,13
1496,0,6,3,6,5,14
1497,0,0,4,7,6,15
1498,1,1,5,8,7,16
1499,2,2,6,9,8,17
1500,0,3,0,0,9,18
1501,1,4,1,1,10,19
1502,2,0,2,2,11,20
1503,3,1,3,3,12,21
1504,4,2,4,4,0,22
1505,5,3,5,5,1,23
1506,6,4,6,6,2,24
1507,0,5,0,7,3,25
1508,1,0,1,8,4,0
1509,2,1,2,9,5,1
1510,3,2,3,0,6,2
1511,4,3,4,1,7,3
1512,0,0,5,2,8,4
1513,1,1,0,3,9,5
1514,2,2,1,4,10,6
1515,3,3,2,5,11,7
1516,4,0,3,6,12,8
1517,0,1,4,7,0,9
1518,1,2,5,8,1,10
1519,2,3,0,0,2,11
1520,3,4,1,1,3,12
1521,4,5,2,2,4,13
1522,5,6,3,3,5,14
1523,0,0,4,4,6,15
1524,1,1,5,5,7,16
1525,2,2,6,6,8,17
1526,0,3,0,7,0,18
1527,1,4,1,8,1,19
1528,0,0,2,9,2,20
1529,1,1,3,0,3,21
1530,2,2,4,1,4,0
1531,3,3,5,2,5,1
1532,0,4,6,3,6,2
1533,1,5,0,4,7,3
1534,2,6,1,5,8,4
1535,3,0,2,6,9,5
1536,4,1,3,7,10,6
1537,5,2,4,8,11,7
1538,0,3,5,9,12,8
1539,1,4,6,0,13,9
1540,2,5,0,1,0,10
1541,3,0,1,2,1,11
1542,4,1,2,3,2,12
1543,5,2,3,4,3,13
1544,0,3,4,5,4,14
1545,1,4,0,6,5,15
1546,2,5,1,7,6,16
1547,3,6,2,8,7,17
1548,0,0,3,9,8,18
1549,1,1,4,10,9,19
1550,0,2,0,11,10,20
1551,1,3,1,0,11,21
1552,2,4,2,1,12,0
1553,3,5,3,2,0,1
1554,0,0,4,3,1,2
1555,1,1,5,4,2,3
1556,2,2,6,5,3,4
1557,0,3,0,6,4,5
1558,1,4,1,7,5,6
1559,2,5,2,8,6,7
1560,0,0,3,0,7,8
1561,1,1,4,1,8,9
1562,2,2,5,2,9,10
1563,0,3,0,3,10,11
1564,1,4,1,4,11,12
1565,2,5,2,5,12,13
1566,3,6,3,6,0,14
1567,0,0,4,7,1,15
1568,1,1,5,8,2,16
1569,0,2,6,9,3,17
1570,1,3,0,10,4,18
1571,2,4,1,0,5,19
1572,3,5,2,1,6,20
1573,0,0,3,2,7,21
1574,1,1,4,3,8,22
1575,2,2,0,4,9,23
1576,3,3,1,5,10,24
1577,4,4,0,6,11,25
1578,0,5,1,7,12,26
1579,1,6,2,8,13,27
1580,2,0,3,9,0,28
1581,3,1,4,10,1,0
1582,0,2,0,0,2,0
1583,1,3,1,1,3,1
1584,2,4,2,2,4,2
1585,3,5,3,3,5,3
1586,0,0,4,4,6,4
1587,1,1,5,5,7,5
1588,2,2,6,6,8,6
1589,0,3,0,7,9,7
1590,1,4,1,8,10,8
1591,2,5,2,9,11,9
1592,3,6,3,10,12,10
1593,4,7,4,11,13,11
1594,0,0,5,0,0,12
1595,1,1,0,1,1,13
1596,2,2,1,2,2,14
1597,3,3,2,3,3,15
1598,4,4,3,4,4,16
1599,5,5,4,5,5,17
1600,0,0,5,6,6,0
1601,1,1,6,0,7,1
1602,2,2,0,1,8,2
1603,3,3,1,2,9,3
1604,4,4,2,3,10,4
1605,5,5,3,4,11,5
1606,0,0,4,5,12,6
1607,1,1,5,6,13,7
1608,2,2,6,7,0,8
1609,3,3,7,8,1,9
1610,4,4,0,9,2,10
1611,0,0,1,10,3,11
1612,1,1,2,0,4,12
1613,2,2,3,1,5,13
1614,3,3,4,2,6,14
1615,4,4,5,3,7,15
1616,5,5,6,4,8,16
1617,0,0,0,5,9,17
1618,1,1,1,6,10,18
1619,2,2,2,7,11,19
1620,3,3,3,8,12,20
1621,4,4,4,0,13,21
1622,5,5,5,1,0,22
1623,6,6,6,2,1,23
1624,0,0,0,3,2,0
1625,1,1,1,4,3,1
1626,2,2,2,5,4,2
1627,3,3,3,6,5,3
1628,4,4,4,7,6,4
1629,5,5,5,8,7,5
1630,0,0,0,9,8,6
1631,1,1,1,10,9,7
1632,2,2,2,0,10,8
1633,3,3,3,1,11,9
1634,4,4,4,2,12,10
1635,5,5,5,3,13,11
1636,0,0,0,4,14,12
1637,1,1,1,5,15,13
1638,2,2,2,6,0,14
1639,3,3,3,7,1,15
1640,4,4,4,8,2,16
1641,5,5,5,0,3,17
1642,6,6,6,1,4,18
1643,0,0,0,2,5,19
1644,1,1,1,3,6,20
1645,2,2,2,4,7,21
1646,3,3,3,5,8,22
1647,4,4,4,6,9,23
1648,5,5,5,7,10,24
1649,0,0,0,8,11,25
1650,1,1,1,0,12,26
1651,2,2,2,1,0,27
1652,3,3,3,2,1,28
1653,4,4,4,3,2,29
1654,5,5,5,4,3,30
1655,0,0,0,5,4,31
1656,1,1,1,6,5,0
1657,2,2,2,7,6,1
1658,3,3,3,8,7,2
1659,4,4,4,9,8,3
1660,5,5,5,10,9,4
1661,6,6,6,0,10,5
1662,0,0,0,1,11,6
1663,1,1,1,2,12,7
1664,2,2,2,3,13,8
1665,3,3,3,4,14,9
1666,4,4,4,5,0,10
1667,5,5,5,6,1,11
1668,0,0,0,7,2,12
1669,1,1,1,8,3,13
1670,2,2,2,9,4,14
1671,3,3,3,10,5,15
1672,4,4,4,0,6,16
1673,5,5,5,1,7,17
1674,0,0,0,2,8,18
1675,1,1,1,3,9,19
1676,2,2,2,4,10,20
1677,3,3,3,5,11,21
1678,4,4,4,0,12,22
1679,5,5,5,1,13,23
1680,0,0,0,2,0,24
1681,1,1,1,3,1,25
1682,2,2,2,4,2,26
1683,3,3,3,5,3,27
1684,4,4,4,6,4,28
1685,5,5,5,0,5,29
1686,0,0,6,1,6,30
1687,1,1,0,2,7,0
1688,2,2,1,3,8,1
1689,3,3,2,4,9,2
1690,4,4,3,5,10,3
1691,5,5,4,6,11,4
1692,6,6,5,7,12,5
1693,0,0,0,0,13,6
1694,1,1,1,1,14,7
1695,2,2,2,2,15,8
1696,3,3,3,3,16,9
1697,4,4,4,4,0,10
1698,5,5,5,5,1,11
1699,0,0,0,6,2,12
1700,1,1,1,7,3,13
1701,2,2,2,8,4,14
1702,3,3,3,9,5,15
1703,4,4,4,10,6,16
1704,5,5,5,0,7,17
1705,6,6,6,1,8,18
1706,0,0,0,2,9,19
1707,1,1,1,3,10,20
1708,2,2,2,4,11,21
1709,3,3,3,5,12,22
1710,4,4,4,6,0,23
1711,0,0,5,7,1,24
1712,1,1,6,8,2,0
1713,2,2,0,9,3,1
1714,3,3,1,10,4,2
1715,4,4,2,0,5,3
1716,5,5,3,1,6,4
1717,0,0,4,2,7,5
1718,1,1,5,3,8,6
1719,2,2,6,4,9,7
1720,3,3,0,5,10,8
1721,4,4,1,6,11,9
1722,5,5,2,7,12,10
1723,6,6,3,8,13,11
1724,0,0,4,9,14,12
1725,1,1,5,10,0,13
1726,2,2,0,11,1,14
1727,3,3,1,0,2,15
1728,4,4,2,1,3,16
1729,0,0,3,2,4,17
1730,1,1,4,3,5,0
1731,2,2,5,4,6,1
1732,3,3,6,5,7,2
1733,4,4,0,6,8,3
1734,5,5,1,7,9,4
1735,0,0,2,0,10,5
1736,1,1,3,1,11,6
1737,2,2,4,2,12,7
1738,3,3,5,3,0,8
1739,4,4,6,4,1,9
1740,5,5,7,5,2,10
1741,0,0,0,6,3,11
1742,1,1,1,7,4,12
1743,2,2,2,8,5,13
1744,3,3,3,0,6,14
1745,4,4,4,1,7,15
1746,5,5,5,2,8,16
1747,0,0,6,3,9,17
1748,1,1,0,4,10,18
1749,2,2,1,5,11,19
1750,3,3,2,6,12,0
1751,4,4,3,7,13,1
1752,5,5,4,8,0,2
1753,0,0,5,9,1,3
1754,1,1,6,10,2,4
1755,2,2,0,0,3,5
1756,3,3,1,1,4,6
1757,4,4,2,2,5,7
1758,5,5,3,3,6,8
1759,6,6,4,4,7,9
1760,0,0,0,5,8,0
1761,1,1,1,6,9,1
1762,2,2,0,7,10,2
1763,3,3,1,8,11,3
1764,4,4,2,9,12,4
1765,5,5,3,0,13,5
1766,0,0,0,1,14,6
1767,1,1,1,2,15,7
1768,2,2,2,3,0,8
1769,3,3,3,4,1,9
1770,4,4,4,5,2,0
1771,5,5,5,6,3,1
1772,0,0,0,7,4,2
1773,1,1,1,8,5,3
1774,2,2,2,9,6,4
1775,3,3,3,10,7,5
1776,4,4,4,11,8,6
1777,5,5,0,0,9,7
1778,6,6,1,1,10,8
1779,0,0,2,2,11,9
1780,1,1,3,3,12,10
1781,2,2,4,4,0,11
1782,3,3,5,5,1,12
1783,4,4,6,6,2,13
1784,5,5,0,7,3,14
1785,0,0,1,8,4,15
1786,1,1,2,9,5,16
1787,2,2,3,0,6,17
1788,3,3,4,1,7,18
1789,4,4,5,2,8,19
1790,0,0,0,3,9,0
1791,1,1,1,4,10,1
1792,2,2,2,5,11,2
1793,3,3,3,6,12,3
1794,4,4,4,7,13,4
1795,5,5,5,8,0,5
1796,6,6,6,9,1,6
1797,0,0,0,0,2,7
1798,1,1,1,1,3,8
1799,2,2,2,2,4,9
1800,3,3,3,3,5,10
1801,4,4,4,4,6,11
1802,5,5,5,5,7,12
1803,0,0,0,6,8,13
1804,1,1,1,7,9,14
1805,2,2,2,8,10,15
1806,3,3,3,9,11,16
1807,4,4,4,10,12,17
1808,5,5,5,0,13,18
1809,6,6,6,1,14,0
1810,0,0,0,2,0,1
1811,1,1,1,3,1,2
1812,2,2,2,4,2,3
1813,3,3,3,5,3,4
1814,4,4,4,6,4,5
1815,5,5,5,7,5,6
1816,0,0,0,8,6,7
1817,1,1,1,9,7,8
1818,2,2,2,0,8,9
1819,3,3,3,1,9,10
1820,4,4,4,2,10,11
1821,5,5,5,3,11,12
1822,0,0,0,4,12,13
1823,1,1,1,5,13,14
1824,2,2,2,6,0,15
1825,3,3,3,7,1,16
1826,4,4,4,8,2,17
1827,5,5,5,9,3,18
1828,0,0,0,0,4,19
1829,1,1,1,1,5,20
1830,2,2,2,2,6,0
1831,3,3,3,3,7,1
1832,4,4,4,4,8,2
1833,5,5,5,5,9,3
1834,0,0,6,6,10,4
1835,1,1,0,7,11,5
1836,2,2,1,8,12,6
1837,3,3,2,9,0,7
1838,4,4,3,10,1,8
1839,5,5,4,11,2,9
1840,0,0,5,0,3,10
1841,1,1,6,1,4,11
1842,2,2,0,2,5,12
1843,3,3,1,3,6,13
1844,4,4,2,4,7,14
1845,5,5,3,5,8,15
1846,0,0,4,6,9,16
1847,1,1,5,7,10,17
1848,2,2,6,8,11,18
1849,3,3,0,9,12,19
1850,4,4,1,0,13,20
1851,5,5,2,1,14,21
1852,0,0,3,2,0,22
1853,1,1,4,3,1,23
1854,2,2,5,4,2,24
1855,3,3,0,5,3,25
1856,4,4,1,6,4,26
1857,5,5,2,7,5,27
1858,0,0,3,8,6,28
1859,1,1,4,0,7,29
1860,2,2,5,1,8,30
1861,3,3,0,2,9,31
1862,4,4,1,3,10,32
1863,5,5,2,4,11,33
1864,6,6,3,5,12,34
1865,0,7,4,6,13,0
1866,0,0,5,7,0,1
1867,1,1,0,8,1,2
1868,2,2,1,9,2,3
1869,0,3,2,0,3,4
1870,1,4,3,1,4,5
1871,2,5,4,2,5,6
1872,0,0,5,3,6,7
1873,1,1,6,4,7,8
1874,2,2,0,5,8,9
1875,3,3,1,6,9,10
1876,4,4,2,7,10,11
1877,0,5,3,8,11,12
1878,1,6,4,9,12,13
1879,2,0,5,10,0,14
1880,3,1,6,11,1,15
1881,4,2,0,0,2,16
1882,5,3,1,1,3,17
1883,0,4,2,2,4,18
1884,1,5,3,3,5,19
1885,2,0,4,4,6,20
1886,3,1,5,5,7,21
1887,0,2,0,6,8,22
1888,1,3,1,7,9,23
1889,2,4,2,8,10,24
1890,3,5,3,9,11,25
1891,4,6,4,0,12,26
1892,0,0,5,1,13,27
1893,1,1,6,2,0,28
1894,2,2,0,3,1,29
1895,3,3,1,4,2,30
1896,4,4,2,5,3,31
1897,0,0,3,6,4,32
1898,1,1,4,7,5,33
1899,2,2,5,8,6,34
1900,3,3,6,9,7,35
